State,Corporate Tax Rate (2026)
Alabama,6.5
Alaska,9.4
Arizona,4.9
Arkansas,4.3
California,8.84
Colorado,4.4
Connecticut,8.25
Delaware,8.7
Florida,5.5
Georgia,5.19
Hawaii,6.4
Idaho,5.3
Illinois,9.5
Indiana,4.9
Iowa,7.1
Kansas,7.0
Kentucky,5.0
Louisiana,5.5
Maine,8.93
Maryland,8.25
Massachusetts,8.0
Michigan,6.0
Minnesota,9.8
Mississippi,5.0
Missouri,4.0
Montana,6.75
Nebraska,4.55
Nevada,0.0
New Hampshire,7.5
New Jersey,11.5
New Mexico,5.9
New York,7.25
North Carolina,2.0
North Dakota,4.31
Ohio,0.0
Oklahoma,4.0
Oregon,7.6
Pennsylvania,7.49
Rhode Island,7.0
South Carolina,5.0
South Dakota,0.0
Tennessee,6.5
Texas,0.0
Utah,4.5
Vermont,8.5
Virginia,6.0
Washington,0.0
West Virginia,6.5
Wisconsin,7.9
Wyoming,0.0