State,McDonalds_Outlets,Outlets_per_100K,Density_Rank
Alabama,245,5.0,15th Most
Alaska,31,4.2,24th Fewest
Arizona,284,3.9,15th Fewest
Arkansas,172,5.7,2nd Most
California,1264,3.2,5th Fewest
Colorado,207,3.6,11th Fewest
Connecticut,143,4.0,19th Fewest
Delaware,36,3.7,12th Fewest
Florida,902,4.2,24th Fewest
Georgia,446,4.2,24th Fewest
Hawaii,74,5.2,5th Most
Idaho,63,3.5,10th Fewest
Illinois,659,5.2,5th Most
Indiana,350,5.2,5th Most
Iowa,145,4.6,21st Most
Kansas,149,5.1,10th Most
Kentucky,250,5.6,3rd Most
Louisiana,237,5.1,10th Most
Maine,62,4.6,21st Most
Maryland,284,4.7,18th Most
Massachusetts,234,3.4,8th Fewest
Michigan,539,5.4,4th Most
Minnesota,226,4.0,19th Fewest
Mississippi,140,4.7,18th Most
Missouri,313,5.1,10th Most
Montana,48,4.5,25th Most
Nebraska,77,4.0,19th Fewest
Nevada,142,4.6,21st Most
New Hampshire,54,4.0,19th Fewest
New Jersey,258,2.9,2nd Fewest
New Mexico,107,5.1,10th Most
New York,603,3.1,4th Fewest
North Carolina,482,4.6,21st Most
North Dakota,24,3.1,4th Fewest
Ohio,608,5.2,5th Most
Oklahoma,206,5.2,5th Most
Oregon,160,3.8,14th Fewest
Pennsylvania,486,3.8,14th Fewest
Rhode Island,31,2.9,2nd Fewest
South Carolina,227,4.4,25th Fewest
South Dakota,30,3.4,8th Fewest
Tennessee,328,4.8,16th Most
Texas,1189,4.1,20th Fewest
Utah,112,3.5,10th Fewest
Vermont,26,4.2,24th Fewest
Virginia,401,4.7,18th Most
Washington,259,3.4,8th Fewest
West Virginia,104,5.8,1st Most
Wisconsin,297,5.1,10th Most
Wyoming,28,4.8,16th Most