NAME,Obesity,Shape__Area,Shape__Length
Texas,32.4,7672329221282.43,15408321.8693326
California,24.2,5327809415348.82,14518698.4569941
Kentucky,34.6,1128830286205.16,6346698.58640708
Georgia,30.7,1652980281878.16,5795595.91864916
Wisconsin,30.7,1567816094388.87,6806782.08136301
Oregon,30.1,3178445626040.27,7976010.94221365
Virginia,29.2,1158804356889.53,7710803.89951692
Tennessee,33.8,1177054472613.04,6350376.86054333
Louisiana,36.2,1355093764681.61,7383856.92000197
New York,25,1411440550751.67,7981383.07833192
Michigan,31.2,1657221839369.07,12407988.0255281
Idaho,28.6,2593598268262.5,9081125.22172213
Florida,26.8,1674411223014.05,10533929.1449871
Alaska,29.8,530113882175.211,6663726.59004341
Montana,23.6,4371466366583.28,9745471.75281783
Minnesota,26.1,2367874733298.77,8530250.43009455
Nebraska,31.4,2207444436489.05,6921599.98830379
Washington,26.4,2214214821521.08,7508966.84072584
Ohio,29.8,1158015967784.83,5015484.92425697
Illinois,30.8,1571568299021.75,6172530.808854
Missouri,32.4,1949020823705.61,7165632.96911909
Iowa,32.1,1575588858361.24,5558144.62527852
South Dakota,30.4,2199053487799.14,6680911.24766789
Arkansas,34.5,1488699273851.56,5707634.00268186
Mississippi,35.6,1327853198136.73,5834201.76780663
Colorado,20.2,3066878609025.77,7092296.49765181
North Carolina,30.1,1495755985997.67,6714056.23681002
Utah,24.5,2614280967848.27,6798972.50369368
Oklahoma,33.9,1982448890091.04,7857119.56910824
Wyoming,29,2897400399096.76,6860971.19037082
West Virginia,35.6,685167361644.46,5374279.69671274
Indiana,31.3,1010364222357.43,4858882.2188474
Massachusetts,24.3,247224998616.445,4197218.18339706
Nevada,26.7,3564354191149.74,8240794.81052883
Connecticut,25.3,145421898749.233,1780630.95587218
Rhode Island,26,36178076494.7559,984524.581504144
Alabama,35.6,1442806615255.99,5750657.81193695
South Carolina,31.7,878270407989.028,4370940.54757697
Maine,30,990384869167.161,5560035.3654817
Hawaii,22.7,,
Arizona,28.4,3562685913790.96,8044184.23411284
New Mexico,28.8,3622933199164.54,8075166.55523129
Maryland,28.9,303943203060.042,5850363.29176001
Delaware,29.7,59081101610.6035,1383604.11821384
Pennsylvania,30,1288451936878.89,5024348.11270229
Kansas,34.2,2340365916403.12,6540498.42012793
Vermont,25.1,278931330245.147,2653732.23281641
New Jersey,25.6,224606547505.064,2599119.26117916
North Dakota,31,2013151767296.55,5872756.35866059
New Hampshire,26.3,270529403241.122,2674767.14799775